Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Jayson Tatum,25,PF,74,74,2645,9.1,19.4,0.471,3.1,8.3,0.376,6,11.1,0.542,0.552,5.6,6.8,0.833,0.9,7.3,8.2,5,1,0.6,2.6,2,27,"MVP-6,CPOY-9,AS,NBA1"
2,Derrick White,29,SG,73,73,2381,5.9,12.7,0.461,3,7.5,0.396,2.9,5.2,0.555,0.578,2.1,2.3,0.901,0.8,3.9,4.7,5.7,1.1,1.3,1.7,2.3,16.7,DPOY-8
3,Jaylen Brown,27,SF,70,70,2343,9.6,19.3,0.499,2.2,6.3,0.354,7.4,13,0.57,0.557,3.2,4.6,0.703,1.3,4.7,5.9,3.8,1.3,0.6,2.6,2.8,24.7,AS
4,Jrue Holiday,33,PG,69,69,2263,5.3,11,0.48,2.2,5.1,0.429,3.1,5.8,0.526,0.581,1,1.1,0.833,1.3,4.6,5.9,5.3,1,0.8,2,1.7,13.7,DPOY-6
5,Payton Pritchard,26,PG,82,5,1825,5.9,12.5,0.468,2.9,7.5,0.385,3,5,0.593,0.583,0.9,1.1,0.821,1.4,3.8,5.2,5.5,0.8,0.1,1.2,2.1,15.5,
6,Sam Hauser,26,SF,79,13,1741,5.1,11.5,0.446,4.1,9.6,0.424,1.1,1.9,0.559,0.623,0.4,0.4,0.895,0.9,4.8,5.7,1.7,0.8,0.5,0.7,2,14.7,
7,Al Horford,37,C,65,33,1740,4.4,8.7,0.511,2.2,5.3,0.419,2.2,3.3,0.658,0.64,0.5,0.6,0.867,1.7,6.8,8.5,3.5,0.8,1.3,1,1.9,11.6,
8,Kristaps Porziņģis,28,C,57,57,1690,8.3,16,0.516,2.3,6.2,0.375,5.9,9.8,0.606,0.589,5.5,6.4,0.858,2.1,6.6,8.7,2.4,0.9,2.4,1.9,3.3,24.4,
9,Luke Kornet,28,C,63,7,983,5.2,7.4,0.7,0,0,1,5.2,7.4,0.698,0.702,1.8,2,0.907,4.3,5.2,9.6,2.5,0.8,2.2,0.8,2.8,12.2,
10,Oshae Brissett,25,SF,55,1,630,3.9,8.7,0.444,0.9,3.1,0.273,3,5.6,0.541,0.493,2.9,4.7,0.602,3.5,5.7,9.1,2.5,1.1,0.5,1.1,3.1,11.5,
11,Svi Mykhailiuk,26,SF,41,2,413,5,11.9,0.416,3.7,9.4,0.389,1.3,2.5,0.517,0.569,0.5,0.8,0.667,1,3.5,4.4,3.1,1,0.1,1,1.7,14.1,
12,Neemias Queta,24,C,28,0,333,7.2,11.2,0.644,0,0,,7.2,11.2,0.644,0.644,2.2,3,0.714,5.7,7.5,13.2,2.2,1.4,2.3,1.4,5.4,16.6,
13,Xavier Tillman Sr.,25,PF,20,2,274,4.5,8.7,0.515,1.1,3.7,0.286,3.4,5,0.684,0.576,0.5,0.9,0.571,1.8,5.3,7.1,2.6,1.2,1.2,0.7,2,10.5,
14,Dalano Banton,24,PG,24,1,171,4,10.7,0.373,0.4,3.4,0.125,3.6,7.4,0.486,0.392,3.4,4.2,0.8,2.5,4.8,7.4,4,1.1,0.6,2.1,4.2,11.8,
15,Jaden Springer,21,SG,17,1,130,3.6,8.3,0.433,0.6,3,0.182,3,5.3,0.579,0.467,1.9,2.2,0.875,2.2,3.3,5.5,2.5,3,1.1,2.2,4.7,9.7,
16,Lamar Stevens,26,PF,19,1,122,6.2,13.3,0.467,0.9,2.4,0.375,5.3,10.9,0.486,0.5,2.4,3.2,0.727,3.5,5.6,9.1,2.4,1.8,1.5,2.7,4.1,15.6,
17,Jordan Walsh,19,SF,9,1,83,2.6,6.5,0.4,0.9,3.9,0.222,1.7,2.6,0.667,0.467,0.4,0.9,0.5,2.2,6.5,8.7,2.2,2.2,0.4,1.3,4.8,6.5,
18,JD Davison,21,SG,8,0,39,4.6,11.1,0.417,2.8,6.5,0.429,1.8,4.6,0.4,0.542,2.8,3.7,0.75,1.8,7.4,9.2,9.2,0.9,0.9,1.8,3.7,14.8,
19,Drew Peterson,24,PF,3,0,23,6.3,9.4,0.667,4.7,7.8,0.6,1.6,1.6,1,0.917,0,0,,0,1.6,1.6,1.6,3.1,0,1.6,1.6,17.2,
Boston Celtics Data Downloaded 3/26
